SubCounty,Group,Total,StillinSchool_No.,StillinSchool_Perc,LeftSchoolAfterC_No.,LeftSchoolAfterC_Perc,LeftSchoolBeforeC_No.,LeftSchoolBeforeC_Perc,NeverbeentoSchool_No.,NeverbeentoSchool_Perc,DK_No.,DK_Perc,NotStated_No.
IGEMBE SOUTH,Total,149522,56443,37.7,26006,17.4,37957,25.4,26764,17.9,2296,1.5,56
IGEMBE SOUTH,Male,74030,27641,37.3,12675,17.1,19443,26.3,12779,17.3,1462,2,30
IGEMBE SOUTH,Female,75484,28799,38.2,13331,17.7,18512,24.5,13982,18.5,834,1.1,26
IMENTI NORTH,Total,162829,55511,34.1,70530,43.3,25379,15.6,10294,6.3,1061,0.7,54
IMENTI NORTH,Male,80497,27661,34.4,35275,43.8,12726,15.8,4141,5.1,660,0.8,34
IMENTI NORTH,Female,82328,27849,33.8,35252,42.8,12653,15.4,6153,7.5,401,0.5,20
IMENTI SOUTH,Total,193742,67801,35,65743,33.9,43429,22.4,15235,7.9,1517,0.8,17
IMENTI SOUTH,Male,96744,34365,35.5,32750,33.9,22385,23.1,6375,6.6,861,0.9,8
IMENTI SOUTH,Female,96993,33434,34.5,32992,34,21042,21.7,8860,9.1,656,0.7,9
MERU CENTRAL,Total,125670,44995,35.8,44593,35.5,24179,19.2,11085,8.8,767,0.6,51
MERU CENTRAL,Male,62757,22798,36.3,22862,36.4,12397,19.8,4212,6.7,463,0.7,25
MERU CENTRAL,Female,62910,22197,35.3,21729,34.5,11781,18.7,6873,10.9,304,0.5,26
TIGANIA CENTRAL,Total,97405,41347,42.4,16145,16.6,23752,24.4,15311,15.7,847,0.9,3
TIGANIA CENTRAL,Male,48073,20788,43.2,8154,17,11944,24.8,6693,13.9,492,1,2
TIGANIA CENTRAL,Female,49332,20559,41.7,7991,16.2,11808,23.9,8618,17.5,355,0.7,1
TIGANIA EAST,Total,67622,29551,43.7,11368,16.8,11938,17.7,13941,20.6,769,1.1,55
TIGANIA EAST,Male,32914,14531,44.1,5713,17.4,5873,17.8,6350,19.3,418,1.3,29
TIGANIA EAST,Female,34705,15018,43.3,5655,16.3,6065,17.5,7590,21.9,351,1,26
TIGANIA WEST,Total,130798,56289,43,29571,22.6,26565,20.3,17173,13.1,1186,0.9,14
TIGANIA WEST,Male,63209,28468,45,14059,22.2,13125,20.8,6839,10.8,713,1.1,5
TIGANIA WEST,Female,67585,27819,41.2,15512,23,13440,19.9,10332,15.3,473,0.7,9
MERU NATIONAL PARK,Total,294,44,15,229,77.9,6,2,15,5.1,NA,NA,NA
MERU NATIONAL PARK,Male,219,21,9.6,184,84,5,2.3,9,4.1,NA,NA,NA
MERU NATIONAL PARK,Female,75,23,30.7,45,60,1,1.3,6,8,NA,NA,NA
MT. KENYA FOREST,Total,442,18,4.1,177,40,162,36.7,85,19.2,NA,NA,NA
MT. KENYA FOREST,Male,393,13,3.3,155,39.4,145,36.9,80,20.4,NA,NA,NA
MT. KENYA FOREST,Female,49,5,10.2,22,44.9,17,34.7,5,10.2,NA,NA,NA
THARAKA-NITHI,Total,367574,144933,39.4,96834,26.3,82897,22.6,39296,10.7,3543,1,71
THARAKA-NITHI,Male,180692,73509,40.7,48177,26.7,40913,22.6,16089,8.9,1966,1.1,38
THARAKA-NITHI,Female,186875,71422,38.2,48655,26,41983,22.5,23205,12.4,1577,0.8,33
IGAMBANG'OMBE,Total,49368,20369,41.3,9492,19.2,13284,26.9,5664,11.5,544,1.1,15
IGAMBANG'OMBE,Male,24367,10393,42.7,4749,19.5,6639,27.2,2257,9.3,320,1.3,9
IGAMBANG'OMBE,Female,25000,9976,39.9,4743,19,6644,26.6,3407,13.6,224,0.9,6
MAARA,Total,108517,37866,34.9,36716,33.8,25656,23.6,7384,6.8,882,0.8,13
MAARA,Male,54491,19356,35.5,18647,34.2,12805,23.5,3192,5.9,485,0.9,6
MAARA,Female,54026,18510,34.3,18069,33.4,12851,23.8,4192,7.8,397,0.7,7
MERU SOUTH,Total,85236,30872,36.2,29636,34.8,18458,21.7,5550,6.5,699,0.8,21
MERU SOUTH,Male,41988,15688,37.4,14662,34.9,9028,21.5,2180,5.2,420,1,10
MERU SOUTH,Female,43246,15183,35.1,14973,34.6,9430,21.8,3370,7.8,279,0.6,11
THARAKA NORTH,Total,54321,23967,44.1,7847,14.4,10367,19.1,10996,20.2,1127,2.1,17
THARAKA NORTH,Male,26290,12019,45.7,3891,14.8,5124,19.5,4679,17.8,567,2.2,10
THARAKA NORTH,Female,28029,11947,42.6,3956,14.1,5243,18.7,6316,22.5,560,2,7
THARAKA SOUTH,Total,69972,31795,45.4,13065,18.7,15120,21.6,9696,13.9,291,0.4,5
THARAKA SOUTH,Male,33482,16040,47.9,6177,18.4,7310,21.8,3778,11.3,174,0.5,3
THARAKA SOUTH,Female,36488,15755,43.2,6887,18.9,7810,21.4,5917,16.2,117,0.3,2
MT. KENYA FOREST,Total,160,64,40,78,48.8,12,7.5,6,3.8,NA,NA,NA
MT. KENYA FOREST,Male,74,13,17.6,51,68.9,7,9.5,3,4.1,NA,NA,NA
MT. KENYA FOREST,Female,86,51,59.3,27,31.4,5,5.8,3,3.5,NA,NA,NA
EMBU,Total,568228,205389,36.1,180500,31.8,131329,23.1,48555,8.5,2404,0.4,51
EMBU,Male,283024,104132,36.8,90744,32.1,67774,23.9,18822,6.7,1530,0.5,22
EMBU,Female,285182,101251,35.5,89746,31.5,63552,22.3,29730,10.4,874,0.3,29
EMBU EAST,Total,122079,41231,33.8,38387,31.4,31506,25.8,10483,8.6,469,0.4,3
EMBU EAST,Male,60807,20990,34.5,19236,31.6,16193,26.6,4112,6.8,275,0.5,1
EMBU EAST,Female,61270,20240,33,19150,31.3,15313,25,6371,10.4,194,0.3,2
EMBU NORTH,Total,75194,25255,33.6,24666,32.8,18336,24.4,6717,8.9,216,0.3,4
EMBU NORTH,Male,37443,13147,35.1,12344,33,9327,24.9,2497,6.7,127,0.3,1
EMBU NORTH,Female,37748,12108,32.1,12321,32.6,9009,23.9,4218,11.2,89,0.2,3
EMBU WEST,Total,116797,38642,33.1,47698,40.8,22991,19.7,6955,6,502,0.4,9
EMBU WEST,Male,57297,19180,33.5,23246,40.6,11853,20.7,2699,4.7,314,0.5,5
EMBU WEST,Female,59491,19461,32.7,24447,41.1,11135,18.7,4256,7.2,188,0.3,4
MBEERE SOUTH,Total,152697,58147,38.1,45348,29.7,34852,22.8,13558,8.9,762,0.5,30
MBEERE SOUTH,Male,77699,29539,38,23666,30.5,18558,23.9,5383,6.9,539,0.7,14
MBEERE SOUTH,Female,74993,28606,38.1,21679,28.9,16294,21.7,8175,10.9,223,0.3,16
MBEERE NORTH,Total,101440,42114,41.5,24381,24,23643,23.3,10842,10.7,455,0.4,5
MBEERE NORTH,Male,49760,21276,42.8,12235,24.6,11842,23.8,4131,8.3,275,0.6,1
MBEERE NORTH,Female,51677,20836,40.3,12146,23.5,11801,22.8,6710,13,180,0.3,4
MT. KENYA FOREST,Total,21,NA,NA,20,95.2,1,4.8,NA,NA,NA,NA,NA
MT. KENYA FOREST,Male,18,NA,NA,17,94.4,1,5.6,NA,NA,NA,NA,NA
MT. KENYA FOREST,Female,3,NA,NA,3,100,NA,NA,NA,NA,NA,NA,NA
KITUI,Total,1056907,490726,46.4,265238,25.1,152030,14.4,136969,13,11795,1.1,149
KITUI,Male,508247,250178,49.2,127266,25,72606,14.3,51705,10.2,6431,1.3,61
KITUI,Female,548634,240536,43.8,137968,25.1,79419,14.5,85259,15.5,5364,1,88
IKUTHA,Total,77563,39676,51.2,15378,19.8,11877,15.3,9400,12.1,1229,1.6,3
IKUTHA,Male,37282,20339,54.6,7295,19.6,5630,15.1,3409,9.1,607,1.6,2
IKUTHA,Female,40281,19337,48,8083,20.1,6247,15.5,5991,14.9,622,1.5,1
KATULANI,Total,44328,18641,42.1,13632,30.8,6425,14.5,4896,11,734,1.7,NA
KATULANI,Male,21770,9635,44.3,6804,31.3,3163,14.5,1756,8.1,412,1.9,NA
KATULANI,Female,22557,9006,39.9,6828,30.3,3261,14.5,3140,13.9,322,1.4,NA
KISASI,Total,43226,19501,45.1,10676,24.7,7396,17.1,5286,12.2,360,0.8,7
KISASI,Male,21140,10112,47.8,5237,24.8,3653,17.3,1920,9.1,217,1,1
KISASI,Female,22086,9389,42.5,5439,24.6,3743,16.9,3366,15.2,143,0.6,6
KITUI CENTRAL,Total,97406,39644,40.7,35837,36.8,13394,13.8,7671,7.9,852,0.9,8
KITUI CENTRAL,Male,47435,20082,42.3,17446,36.8,6621,14,2811,5.9,471,1,4
KITUI CENTRAL,Female,49968,19562,39.1,18390,36.8,6772,13.6,4859,9.7,381,0.8,4
KITUI WEST,Total,66202,29215,44.1,21826,33,8742,13.2,5922,8.9,497,0.8,NA
KITUI WEST,Male,31558,14933,47.3,10062,31.9,4257,13.5,2024,6.4,282,0.9,NA
KITUI WEST,Female,34643,14281,41.2,11764,34,4485,12.9,3898,11.3,215,0.6,NA
KYUSO,Total,71052,34600,48.7,12965,18.2,11286,15.9,11140,15.7,1053,1.5,8
KYUSO,Male,33864,17508,51.7,6135,18.1,5292,15.6,4367,12.9,560,1.7,2
KYUSO,Female,37187,17091,46,6830,18.4,5994,16.1,6773,18.2,493,1.3,6
LOWER YATTA,Total,59184,26585,44.9,14826,25.1,9950,16.8,6806,11.5,1011,1.7,6
LOWER YATTA,Male,29535,13784,46.7,7458,25.3,5045,17.1,2692,9.1,555,1.9,1
LOWER YATTA,Female,29649,12801,43.2,7368,24.9,4905,16.5,4114,13.9,456,1.5,5
MATINYANI,Total,44779,19193,42.9,14153,31.6,6715,15,4437,9.9,281,0.6,NA
MATINYANI,Male,21869,9909,45.3,6897,31.5,3394,15.5,1484,6.8,185,0.8,NA
MATINYANI,Female,22909,9284,40.5,7255,31.7,3321,14.5,2953,12.9,96,0.4,NA
MIGWANI,Total,73803,33664,45.6,23025,31.2,8964,12.1,7271,9.9,855,1.2,24
MIGWANI,Male,34807,17222,49.5,10355,29.7,4174,12,2596,7.5,447,1.3,13
MIGWANI,Female,38993,16440,42.2,12669,32.5,4790,12.3,4675,12,408,1,11
MUMONI,Total,27319,13808,50.5,4787,17.5,4817,17.6,3647,13.3,258,0.9,2
MUMONI,Male,12732,6857,53.9,2213,17.4,2126,16.7,1399,11,135,1.1,2
MUMONI,Female,14587,6951,47.7,2574,17.6,2691,18.4,2248,15.4,123,0.8,NA
MUTITU,Total,51464,25958,50.4,8943,17.4,6259,12.2,9577,18.6,678,1.3,49
MUTITU,Male,24422,13084,53.6,4347,17.8,2920,12,3695,15.1,355,1.5,21
MUTITU,Female,27040,12872,47.6,4596,17,3339,12.3,5882,21.8,323,1.2,28
MUTITU NORTH,Total,19815,9275,46.8,4869,24.6,2857,14.4,2657,13.4,152,0.8,5
MUTITU NORTH,Male,9620,4763,49.5,2437,25.3,1354,14.1,962,10,101,1,3
MUTITU NORTH,Female,10194,4511,44.3,2432,23.9,1503,14.7,1695,16.6,51,0.5,2
MUTOMO,Total,105422,51247,48.6,21277,20.2,14541,13.8,17523,16.6,828,0.8,6
MUTOMO,Male,50656,25989,51.3,10464,20.7,6943,13.7,6776,13.4,480,0.9,4
MUTOMO,Female,54761,25256,46.1,10813,19.7,7597,13.9,10745,19.6,348,0.6,2
MWINGI CENTRAL,Total,100501,46035,45.8,26978,26.8,13360,13.3,13107,13,1007,1,14
MWINGI CENTRAL,Male,48132,23501,48.8,12588,26.2,6252,13,5242,10.9,545,1.1,4
MWINGI CENTRAL,Female,52369,22534,43,14390,27.5,7108,13.6,7865,15,462,0.9,10
MWINGI EAST,Total,79205,39172,49.5,14419,18.2,10957,13.8,13537,17.1,1103,1.4,17
MWINGI EAST,Male,37382,19856,53.1,6738,18,4941,13.2,5281,14.1,562,1.5,4
MWINGI EAST,Female,41818,19314,46.2,7680,18.4,6015,14.4,8255,19.7,541,1.3,13
NZAMBANI,Total,43682,19051,43.6,12982,29.7,6592,15.1,4717,10.8,340,0.8,NA
NZAMBANI,Male,21356,9831,46,6486,30.4,3137,14.7,1716,8,186,0.9,NA
NZAMBANI,Female,22324,9220,41.3,6496,29.1,3454,15.5,3000,13.4,154,0.7,NA
THAGICU,Total,14025,6905,49.2,2593,18.5,2280,16.3,2182,15.6,65,0.5,NA
THAGICU,Male,6591,3457,52.5,1210,18.4,1078,16.4,810,12.3,36,0.5,NA
THAGICU,Female,7433,3447,46.4,1383,18.6,1202,16.2,1372,18.5,29,0.4,NA
TSEIKURU,Total,37931,18556,48.9,6072,16,5618,14.8,7193,19,492,1.3,NA
TSEIKURU,Male,18096,9316,51.5,3094,17.1,2626,14.5,2765,15.3,295,1.6,NA
TSEIKURU,Female,19835,9240,46.6,2978,15,2992,15.1,4428,22.3,197,1,NA
MACHAKOS,Total,1327172,505677,38.1,519446,39.1,203283,15.3,86929,6.5,11638,0.9,199
MACHAKOS,Male,661982,258981,39.1,262961,39.7,99048,15,34692,5.2,6197,0.9,103
MACHAKOS,Female,665162,246686,37.1,256474,38.6,104232,15.7,52234,7.9,5440,0.8,96
ATHI RIVER,Total,295790,98497,33.3,151215,51.1,32500,11,10789,3.6,2662,0.9,127
ATHI RIVER,Male,150511,49337,32.8,78486,52.1,15929,10.6,5253,3.5,1441,1,65
ATHI RIVER,Female,145277,49159,33.8,72729,50.1,16571,11.4,5535,3.8,1221,0.8,62
KALAMA,Total,51542,19779,38.4,19205,37.3,6915,13.4,5181,10.1,461,0.9,1
KALAMA,Male,25273,10196,40.3,9565,37.8,3216,12.7,2066,8.2,229,0.9,1
KALAMA,Female,26264,9582,36.5,9636,36.7,3699,14.1,3115,11.9,232,0.9,NA
KANGUNDO,Total,92505,35182,38,34196,37,17672,19.1,5041,5.4,412,0.4,2
KANGUNDO,Male,45935,18188,39.6,17431,37.9,8242,17.9,1855,4,218,0.5,1
KANGUNDO,Female,46569,16994,36.5,16765,36,9429,20.2,3186,6.8,194,0.4,1
KATHIANI,Total,105562,42712,40.5,36686,34.8,18540,17.6,6877,6.5,734,0.7,13
KATHIANI,Male,51709,22119,42.8,18110,35,8618,16.7,2445,4.7,411,0.8,6
KATHIANI,Female,53849,20591,38.2,18575,34.5,9921,18.4,4432,8.2,323,0.6,7
MACHAKOS,Total,158036,54322,34.4,75229,47.6,19480,12.3,7820,4.9,1170,0.7,15
MACHAKOS,Male,78763,27561,35,37985,48.2,9600,12.2,3024,3.8,584,0.7,9
MACHAKOS,Female,79267,26758,33.8,37241,47,9880,12.5,4796,6.1,586,0.7,6
MASINGA,Total,138933,59688,43,38008,27.4,26094,18.8,13506,9.7,1621,1.2,16
MASINGA,Male,68657,30933,45.1,18453,26.9,12995,18.9,5404,7.9,863,1.3,9
MASINGA,Female,70274,28754,40.9,19555,27.8,13098,18.6,8102,11.5,758,1.1,7
MATUNGULU,Total,151535,58093,38.3,56185,37.1,26731,17.6,8879,5.9,1639,1.1,8
MATUNGULU,Male,76123,29817,39.2,28908,38,12874,16.9,3618,4.8,904,1.2,2
MATUNGULU,Female,75408,28274,37.5,27276,36.2,13857,18.4,5261,7,734,1,6
MWALA,Total,171999,69402,40.4,59957,34.9,27719,16.1,13925,8.1,985,0.6,11
MWALA,Male,85399,36048,42.2,29913,35,13803,16.2,5114,6,513,0.6,8
MWALA,Female,86597,33354,38.5,30043,34.7,13916,16.1,8809,10.2,472,0.5,3
YATTA,Total,161270,68002,42.2,48765,30.2,27632,17.1,14911,9.2,1954,1.2,6
YATTA,Male,79612,34782,43.7,24110,30.3,13771,17.3,5913,7.4,1034,1.3,2
YATTA,Female,81657,33220,40.7,24654,30.2,13861,17,8998,11,920,1.1,4
MAKUENI,Total,921168,395627,42.9,276206,30,165325,17.9,71509,7.8,12357,1.3,144
MAKUENI,Male,453946,202949,44.7,135938,29.9,81353,17.9,26987,5.9,6657,1.5,62
MAKUENI,Female,467204,192669,41.2,140265,30,83969,18,44519,9.5,5700,1.2,82
KATHONZWENI,Total,74893,33164,44.3,21495,28.7,12469,16.6,6114,8.2,1647,2.2,4
KATHONZWENI,Male,36846,17094,46.4,10424,28.3,6164,16.7,2307,6.3,855,2.3,2
KATHONZWENI,Female,38044,16069,42.2,11070,29.1,6304,16.6,3807,10,792,2.1,2
KIBWEZI,Total,182688,82524,45.2,46652,25.5,34188,18.7,16731,9.2,2573,1.4,20
KIBWEZI,Male,90350,42482,47,23054,25.5,16761,18.6,6608,7.3,1437,1.6,8
KIBWEZI,Female,92334,40039,43.4,23597,25.6,17427,18.9,10123,11,1136,1.2,12
KILUNGU,Total,57412,25498,44.4,17145,29.9,9870,17.2,4293,7.5,593,1,13
KILUNGU,Male,27241,12802,47,8021,29.4,4614,16.9,1537,5.6,261,1,6
KILUNGU,Female,30170,12696,42.1,9124,30.2,5255,17.4,2756,9.1,332,1.1,7
MAKINDU,Total,78427,33771,43.1,23198,29.6,13632,17.4,6705,8.5,1094,1.4,27
MAKINDU,Male,38462,17300,45,11232,29.2,6669,17.3,2643,6.9,607,1.6,11
MAKINDU,Female,39965,16471,41.2,11966,29.9,6963,17.4,4062,10.2,487,1.2,16
MAKUENI,Total,121484,48433,39.9,43475,35.8,20754,17.1,7656,6.3,1162,1,4
MAKUENI,Male,60589,24818,41,21905,36.2,10371,17.1,2852,4.7,642,1.1,1
MAKUENI,Female,60893,23613,38.8,21570,35.4,10383,17.1,4804,7.9,520,0.9,3
MBOONI EAST,Total,92210,39608,43,26985,29.3,16829,18.3,7480,8.1,1305,1.4,3
MBOONI EAST,Male,45311,20632,45.5,13134,29,8175,18,2633,5.8,736,1.6,1
MBOONI EAST,Female,46896,18975,40.5,13851,29.5,8654,18.5,4845,10.3,569,1.2,2
MBOONI WEST,Total,96464,42564,44.1,27054,28,18984,19.7,6328,6.6,1526,1.6,8
MBOONI WEST,Male,46405,21819,47,12650,27.3,8935,19.3,2246,4.8,752,1.6,3
MBOONI WEST,Female,50058,20745,41.4,14403,28.8,10049,20.1,4082,8.2,774,1.5,5
MUKAA,Total,100143,39315,39.3,34130,34.1,18394,18.4,7018,7,1254,1.3,32
MUKAA,Male,50574,20066,39.7,17528,34.7,9435,18.7,2821,5.6,711,1.4,13
MUKAA,Female,49569,19249,38.8,16602,33.5,8959,18.1,4197,8.5,543,1.1,19
NZAUI,Total,117447,50750,43.2,36072,30.7,20205,17.2,9184,7.8,1203,1,33
NZAUI,Male,58168,25936,44.6,17990,30.9,10229,17.6,3340,5.7,656,1.1,17
NZAUI,Female,59275,24812,41.9,18082,30.5,9975,16.8,5843,9.9,547,0.9,16
NYANDARUA,Total,594649,249756,42,199054,33.5,105160,17.7,38777,6.5,1836,0.3,66
NYANDARUA,Male,292917,128283,43.8,98748,33.7,50160,17.1,14653,5,1041,0.4,32
NYANDARUA,Female,301715,121466,40.3,100304,33.2,54994,18.2,24123,8,795,0.3,33
KINANGOP,Total,103793,43363,41.8,33354,32.1,19541,18.8,7351,7.1,168,0.2,16
KINANGOP,Male,50836,22094,43.5,16353,32.2,9382,18.5,2882,5.7,116,0.2,9
KINANGOP,Female,52953,21268,40.2,17000,32.1,10158,19.2,4468,8.4,52,0.1,7
NYANDARUA SOUTH,Total,87189,37199,42.7,29986,34.4,14567,16.7,5251,6,182,0.2,4
NYANDARUA SOUTH,Male,42802,19039,44.5,14613,34.1,7050,16.5,1992,4.7,106,0.2,2
NYANDARUA SOUTH,Female,44384,18158,40.9,15373,34.6,7516,16.9,3259,7.3,76,0.2,2
MIRANGINE,Total,62731,26957,43,19491,31.1,11511,18.3,4621,7.4,144,0.2,7
MIRANGINE,Male,31220,13817,44.3,9849,31.5,5630,18,1833,5.9,88,0.3,3
MIRANGINE,Female,31510,13139,41.7,9642,30.6,5881,18.7,2788,8.8,56,0.2,4
KIPIPIRI,Total,87881,38278,43.6,27710,31.5,15268,17.4,6377,7.3,234,0.3,14
KIPIPIRI,Male,43161,19577,45.4,13860,32.1,7302,16.9,2298,5.3,118,0.3,6
KIPIPIRI,Female,44718,18701,41.8,13850,31,7964,17.8,4079,9.1,116,0.3,8
NYANDARUA CENTRAL,Total,69596,28484,40.9,23605,33.9,12828,18.4,4400,6.3,270,0.4,9
NYANDARUA CENTRAL,Male,34508,14750,42.7,11848,34.3,6081,17.6,1658,4.8,166,0.5,5
NYANDARUA CENTRAL,Female,35087,13733,39.1,11757,33.5,6747,19.2,2742,7.8,104,0.3,4
NYANDARUA WEST,Total,91217,37017,40.6,31439,34.5,17344,19,5061,5.5,352,0.4,4
NYANDARUA WEST,Male,45240,19269,42.6,15651,34.6,8221,18.2,1908,4.2,190,0.4,1
NYANDARUA WEST,Female,45973,17746,38.6,15788,34.3,9121,19.8,3153,6.9,162,0.4,3
NYANDARUA NORTH,Total,92228,38458,41.7,33455,36.3,14101,15.3,5716,6.2,486,0.5,12
NYANDARUA NORTH,Male,45140,19737,43.7,16564,36.7,6494,14.4,2082,4.6,257,0.6,6
NYANDARUA NORTH,Female,47086,18721,39.8,16890,35.9,7607,16.2,3634,7.7,229,0.5,5
ABERDARE NATIONAL PARK,Total,14,NA,NA,14,100,NA,NA,NA,NA,NA,NA,NA
ABERDARE NATIONAL PARK,Male,10,NA,NA,10,100,NA,NA,NA,NA,NA,NA,NA
ABERDARE NATIONAL PARK,Female,4,NA,NA,4,100,NA,NA,NA,NA,NA,NA,NA
NYERI,Total,709353,253898,35.8,301927,42.6,113307,16,36036,5.1,4138,0.6,47
NYERI,Male,348266,130417,37.4,150457,43.2,52289,15,12895,3.7,2180,0.6,28
NYERI,Female,361061,123475,34.2,151460,41.9,61009,16.9,23140,6.4,1958,0.5,19
TETU,Total,75931,26827,35.3,32415,42.7,12312,16.2,4121,5.4,254,0.3,2
TETU,Male,37083,13866,37.4,16314,44,5406,14.6,1370,3.7,126,0.3,1
TETU,Female,38846,12961,33.4,16099,41.4,6906,17.8,2751,7.1,128,0.3,1
KIENI EAST,Total,102812,37003,36,44148,42.9,16204,15.8,5012,4.9,437,0.4,8
KIENI EAST,Male,51442,18863,36.7,22297,43.3,7941,15.4,2089,4.1,246,0.5,6
KIENI EAST,Female,51366,18139,35.3,21850,42.5,8261,16.1,2923,5.7,191,0.4,2
KIENI WEST,Total,82829,31845,38.4,33177,40.1,12931,15.6,4335,5.2,536,0.6,5
KIENI WEST,Male,41026,16390,40,16583,40.4,6125,14.9,1633,4,292,0.7,3
KIENI WEST,Female,41798,15455,37,16590,39.7,6805,16.3,2702,6.5,244,0.6,2
MATHIRA EAST,Total,93027,33214,35.7,39579,42.5,15655,16.8,4026,4.3,550,0.6,3
MATHIRA EAST,Male,44995,16909,37.6,19387,43.1,7031,15.6,1391,3.1,276,0.6,1
MATHIRA EAST,Female,48029,16305,33.9,20192,42,8621,17.9,2635,5.5,274,0.6,2
MATHIRA WEST,Total,56676,19857,35,23194,40.9,10677,18.8,2723,4.8,217,0.4,8
MATHIRA WEST,Male,27860,10272,36.9,11742,42.1,4783,17.2,942,3.4,118,0.4,3
MATHIRA WEST,Female,28813,9585,33.3,11450,39.7,5893,20.5,1781,6.2,99,0.3,5
NYERI SOUTH,Total,85827,30669,35.7,35818,41.7,13494,15.7,5441,6.3,403,0.5,2
NYERI SOUTH,Male,41443,15718,37.9,17671,42.6,6140,14.8,1688,4.1,225,0.5,1
NYERI SOUTH,Female,44383,14950,33.7,18147,40.9,7354,16.6,3753,8.5,178,0.4,1
MUKURWE-INI,Total,83933,30159,35.9,31566,37.6,15892,18.9,5655,6.7,657,0.8,4
MUKURWE-INI,Male,41386,15861,38.3,15909,38.4,7390,17.9,1883,4.5,341,0.8,2
MUKURWE-INI,Female,42541,14296,33.6,15656,36.8,8500,20,3771,8.9,316,0.7,2
NYERI CENTRAL,Total,128041,44275,34.6,61841,48.3,16110,12.6,4716,3.7,1084,0.8,15
NYERI CENTRAL,Male,62843,22509,35.8,30425,48.4,7449,11.9,1893,3,556,0.9,11
